2018-11-07 13:58:42,574 INFO  - HHH000412: Hibernate Core {5.3.7.Final}
2018-11-07 13:58:42,577 INFO  - HHH000206: hibernate.properties not found
2018-11-07 13:58:42,914 INFO  - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2018-11-07 13:58:43,225 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2018-11-07 13:58:43,235 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:aipclient;INIT=CREATE SCHEMA IF NOT EXISTS opday]
2018-11-07 13:58:43,235 INFO  - HHH10001001: Connection properties: {user=sa, password=****}
2018-11-07 13:58:43,236 INFO  - HHH10001003: Autocommit mode: false
2018-11-07 13:58:43,239 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2018-11-07 13:58:43,414 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2018-11-07 13:58:44,616 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@690bc15e] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 13:58:44,622 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@2d272b0d] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 13:58:44,700 INFO  - HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@3062f9f4'
2018-11-07 13:58:44,814 INFO  - HHH000397: Using ASTQueryTranslatorFactory
2018-11-07 13:58:44,994 INFO  - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2018-11-07 13:58:44,995 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@2eeb0f9b] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 13:58:45,019 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:aipclient;INIT=CREATE SCHEMA IF NOT EXISTS opday]
2018-11-07 13:58:45,092 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2018-11-07 13:58:45,092 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:aipclient;INIT=CREATE SCHEMA IF NOT EXISTS opday]
2018-11-07 13:58:45,092 INFO  - HHH10001001: Connection properties: {user=sa, password=****}
2018-11-07 13:58:45,093 INFO  - HHH10001003: Autocommit mode: false
2018-11-07 13:58:45,093 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2018-11-07 13:58:45,095 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2018-11-07 13:58:45,388 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@3d8d17a3] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 13:58:45,390 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@ac91282] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 13:58:45,435 INFO  - HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@3062f9f4'
2018-11-07 13:58:45,442 INFO  - HHH000397: Using ASTQueryTranslatorFactory
2018-11-07 13:58:45,460 INFO  - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2018-11-07 13:58:45,461 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@3663d0ba] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 13:58:45,472 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:aipclient;INIT=CREATE SCHEMA IF NOT EXISTS opday]
2018-11-07 13:58:45,527 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2018-11-07 13:58:45,527 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:aipclient;INIT=CREATE SCHEMA IF NOT EXISTS opday]
2018-11-07 13:58:45,528 INFO  - HHH10001001: Connection properties: {user=sa, password=****}
2018-11-07 13:58:45,528 INFO  - HHH10001003: Autocommit mode: false
2018-11-07 13:58:45,528 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2018-11-07 13:58:45,530 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2018-11-07 13:58:45,777 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@402b4f81] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 13:58:45,779 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@13ef7fa1] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 13:58:45,818 INFO  - HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@3062f9f4'
2018-11-07 13:58:45,824 INFO  - HHH000397: Using ASTQueryTranslatorFactory
2018-11-07 13:58:45,848 INFO  - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2018-11-07 13:58:45,848 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@401317a0] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 13:58:45,858 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:aipclient;INIT=CREATE SCHEMA IF NOT EXISTS opday]
2018-11-07 13:58:45,920 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2018-11-07 13:58:45,920 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:aipclient;INIT=CREATE SCHEMA IF NOT EXISTS opday]
2018-11-07 13:58:45,921 INFO  - HHH10001001: Connection properties: {user=sa, password=****}
2018-11-07 13:58:45,921 INFO  - HHH10001003: Autocommit mode: false
2018-11-07 13:58:45,921 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2018-11-07 13:58:45,923 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2018-11-07 13:58:46,250 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@79ba0285] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 13:58:46,253 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@6df2a206] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
